wl(nm),I(A.U)
791.525,1
791.52465,1
791.5243,1
791.52395,1
791.5236,1
791.52325,1
791.5229,1
791.52255,1
791.5222,1
791.52185,1
791.5215,1
791.52115,1
791.5208,1
791.52045,1
791.5201,1
791.51975,1
791.5194,1
791.51905,1
791.5187,1
791.51835,1
791.518,1
791.51765,1
791.5173,1
791.51695,1
791.5166,1
791.51625,1
791.5159,1
791.51555,1
791.5152,1
791.51485,1
791.5145,1
791.51415,1
791.5138,1
791.51345,1
791.5131,1
791.51275,1
791.5124,1
791.51205,1
791.5117,1
791.51135,1
791.511,1
791.51065,1
791.5103,1
791.50995,1
791.5096,1
791.50925,1
791.5089,1
791.50855,1
791.5082,1
791.50785,1
791.5075,1
791.50715,1
791.5068,1
791.50645,1
791.5061,1
791.50575,1
791.5054,1
791.50505,1
791.5047,1
791.50435,1
791.504,1
791.50365,1
791.5033,1
791.50295,1
791.5026,1
791.50225,1
791.5019,1
791.50155,1
791.5012,1
791.50085,1
791.5005,1
791.50015,1
791.4998,1
791.49945,1
791.4991,1
791.49875,1
791.4984,1
791.49805,1
791.4977,1
791.49735,1
791.497,1
791.49665,1
791.4963,1
791.49595,1
791.4956,1
791.49525,1
791.4949,1
791.49455,1
791.4942,1
791.49385,1
791.4935,1
791.49315,1
791.4928,1
791.49245,1
791.4921,1
791.49175,1
791.4914,1
791.49105,1
791.4907,1
791.49035,1
791.49,1
791.48965,1
791.4893,1
791.48895,1
791.4886,1
791.48825,1
791.4879,1
791.48755,1
791.4872,1
791.48685,1
791.4865,1
791.48615,1
791.4858,1
791.48545,1
791.4851,1
791.48475,1
791.4844,1
791.48405,1
791.4837,1
791.48335,1
791.483,1
791.48265,1
791.4823,1
791.48195,1
791.4816,1
791.48125,1
791.4809,1
791.48055,1
791.4802,1
791.47985,1
791.4795,1
791.47915,1
791.4788,1
791.47845,1
791.4781,1
791.47775,1
791.4774,1
791.47705,1
791.4767,1
791.47635,1
791.476,1
791.47565,1
791.4753,1
791.47495,1
791.4746,1
791.47425,1
791.4739,1
791.47355,1
791.4732,1
791.47285,1
791.4725,1
791.47215,1
